ticket_id,customer_id,created_date,issue_type,resolved,satisfaction_score
174,337,2025-06-06,other,0,4.0
175,302,2024-10-24,delivery,1,5.0
176,15,2025-03-20,billing,1,5.0
177,324,2024-04-28,billing,1,
178,71,2024-07-08,refund,1,4.0
179,139,2025-02-04,billing,1,4.0
180,306,2024-03-30,other,1,5.0
181,391,2024-02-25,other,1,3.0
182,68,2024-11-30,product_defect,1,4.0
183,237,2024-01-05,refund,1,5.0
184,143,2025-05-31,delivery,1,3.0
185,354,2025-01-06,other,1,3.0
186,415,2025-01-27,delivery,1,4.0
187,320,2024-10-02,refund,1,4.0
188,398,2024-12-09,delivery,0,3.0
189,226,2025-06-07,refund,1,3.0
190,299,2024-01-03,delivery,1,2.0
191,147,2024-05-16,billing,1,5.0
192,495,2025-01-18,refund,1,5.0
193,103,2024-03-08,refund,1,
194,461,2024-05-14,refund,1,5.0
195,373,2024-01-13,product_defect,1,2.0
196,494,2024-01-31,billing,1,2.0
197,321,2024-09-01,other,1,4.0
198,177,2024-12-29,billing,1,4.0
199,141,2024-02-25,refund,1,5.0
200,90,2025-06-24,billing,1,3.0
201,484,2025-03-02,refund,1,
202,54,2024-12-30,product_defect,0,3.0
203,406,2024-02-09,product_defect,0,4.0
204,350,2024-10-12,refund,1,5.0
205,64,2025-05-21,refund,1,4.0
206,458,2024-05-10,product_defect,0,5.0
207,82,2024-10-24,refund,0,5.0
208,81,2024-11-06,product_defect,0,5.0
209,273,2025-01-18,refund,1,5.0
210,52,2025-05-20,product_defect,1,4.0
211,52,2024-03-13,billing,1,4.0
212,313,2024-02-04,delivery,1,5.0
213,483,2024-02-19,delivery,1,4.0
214,27,2024-05-26,product_defect,0,4.0
215,320,2024-07-13,delivery,1,4.0
216,301,2025-04-28,delivery,1,3.0
217,34,2024-10-13,product_defect,0,4.0
218,75,2025-02-13,delivery,1,
219,222,2024-11-12,product_defect,1,3.0
220,347,2025-06-07,delivery,1,3.0
221,111,2024-06-30,delivery,1,2.0
222,218,2025-01-02,refund,1,4.0
223,246,2024-05-29,other,0,3.0
224,356,2024-05-08,refund,1,5.0
225,124,2025-06-23,refund,1,2.0
226,345,2024-01-14,refund,0,3.0
227,416,2024-05-29,product_defect,1,2.0
228,292,2024-07-31,product_defect,0,1.0
229,361,2024-03-16,delivery,1,5.0
230,84,2025-02-28,delivery,0,
231,454,2024-07-16,refund,0,5.0
232,151,2024-09-09,product_defect,1,5.0
233,99,2024-06-16,billing,1,2.0
234,275,2025-05-05,product_defect,1,5.0
235,193,2024-08-19,product_defect,1,4.0
236,231,2025-03-09,refund,1,5.0
237,403,2024-12-09,product_defect,1,4.0
238,268,2025-06-09,product_defect,1,3.0
239,187,2024-11-27,delivery,0,3.0
240,401,2025-06-26,other,1,2.0
241,190,2025-01-19,refund,0,4.0
242,480,2024-02-02,product_defect,1,4.0
243,494,2024-03-27,product_defect,0,
244,235,2025-03-10,billing,1,1.0
245,386,2024-01-26,delivery,1,4.0
246,355,2024-04-14,billing,1,4.0
247,431,2025-03-10,delivery,1,1.0
248,231,2024-07-14,delivery,1,3.0
249,204,2024-04-29,billing,0,4.0
250,139,2024-04-18,delivery,1,4.0
251,293,2024-06-22,product_defect,1,3.0
252,308,2025-04-05,refund,1,1.0
253,226,2024-09-07,other,0,3.0
254,156,2025-06-08,billing,1,5.0
255,226,2025-01-28,refund,0,5.0
256,252,2024-05-27,billing,1,3.0
257,64,2024-03-30,delivery,1,4.0
258,331,2025-06-03,product_defect,0,
259,422,2025-05-11,billing,1,3.0
260,161,2024-03-08,product_defect,1,2.0
261,196,2024-06-25,product_defect,1,1.0
262,47,2025-02-12,billing,1,3.0
263,291,2025-06-24,product_defect,1,5.0
264,214,2025-05-12,other,0,5.0
265,429,2024-06-05,delivery,1,4.0
266,454,2025-05-08,refund,1,3.0
267,387,2025-02-03,billing,1,5.0
268,106,2024-09-11,refund,1,3.0
269,100,2024-07-26,refund,1,2.0
270,243,2025-03-23,billing,1,2.0
271,310,2025-04-05,refund,1,5.0
272,16,2025-05-17,delivery,0,5.0
273,248,2024-09-11,delivery,1,4.0
274,44,2024-05-26,refund,1,5.0
275,131,2025-04-23,refund,1,2.0
276,180,2024-06-15,delivery,1,4.0
277,21,2025-02-18,billing,1,5.0
278,132,2024-10-07,delivery,1,
279,315,2024-11-18,billing,1,4.0
280,499,2024-04-25,other,0,2.0
281,390,2024-05-17,refund,1,
282,154,2024-12-24,other,1,4.0
283,471,2024-05-22,delivery,0,3.0
284,221,2025-01-02,product_defect,0,2.0
285,178,2025-06-29,other,1,1.0
286,424,2024-02-15,billing,1,4.0
287,200,2025-05-23,delivery,0,4.0
288,370,2024-04-04,delivery,0,3.0
289,82,2024-03-17,delivery,1,3.0
290,167,2025-04-03,other,1,4.0
291,493,2024-04-22,delivery,1,4.0
292,122,2024-12-22,refund,1,3.0
293,425,2024-02-28,refund,1,3.0
294,234,2024-02-17,refund,1,5.0
295,479,2024-04-20,refund,1,
296,208,2024-10-13,refund,1,4.0
297,248,2024-06-08,product_defect,1,5.0
298,198,2024-05-02,refund,0,5.0
299,105,2025-04-05,refund,0,1.0
300,422,2024-04-05,refund,1,
301,287,2024-02-22,refund,1,4.0
302,253,2024-03-01,billing,1,4.0
303,187,2025-04-30,refund,0,4.0
304,387,2024-09-18,refund,1,3.0
305,174,2025-06-18,delivery,1,5.0
306,119,2025-03-19,delivery,0,5.0
307,42,2024-06-03,billing,1,2.0
308,437,2025-03-10,billing,1,4.0
309,37,2024-09-07,delivery,1,
310,423,2024-11-04,refund,0,5.0
311,190,2024-10-18,refund,1,4.0
312,2,2025-02-21,product_defect,1,3.0
313,464,2024-04-23,delivery,0,3.0
314,371,2024-02-02,other,1,3.0
315,362,2025-02-06,delivery,1,5.0
316,274,2025-06-08,other,0,5.0
317,381,2024-11-14,delivery,0,
318,67,2024-03-05,refund,1,2.0
319,118,2024-03-02,delivery,1,
320,272,2024-10-26,delivery,1,
321,368,2025-05-07,other,1,5.0
322,295,2024-12-03,refund,0,5.0
323,204,2024-06-15,delivery,1,4.0
324,336,2024-12-07,other,0,3.0
325,30,2024-03-26,delivery,1,3.0
326,255,2024-09-20,delivery,1,1.0
327,198,2025-06-24,delivery,1,1.0
328,250,2024-12-12,refund,1,5.0
329,66,2024-02-26,other,1,3.0
330,452,2024-04-20,delivery,0,2.0
331,427,2024-02-02,product_defect,1,2.0
332,472,2024-08-09,delivery,0,5.0
333,421,2024-05-10,delivery,0,
334,333,2025-06-22,product_defect,1,4.0
335,144,2024-06-24,product_defect,0,5.0
336,58,2024-01-20,product_defect,0,
337,306,2024-08-26,delivery,1,5.0
338,474,2025-02-09,delivery,1,5.0
339,182,2025-01-11,product_defect,1,4.0
340,497,2025-06-21,product_defect,1,
341,78,2024-07-20,refund,1,3.0
342,142,2024-10-14,delivery,1,5.0
343,325,2024-11-03,billing,1,4.0
344,247,2024-01-14,delivery,0,3.0
345,381,2024-01-04,product_defect,1,5.0
346,173,2025-03-13,product_defect,1,5.0
347,388,2024-07-30,delivery,0,5.0
348,151,2025-01-13,refund,0,
349,75,2025-06-03,refund,0,5.0
350,285,2024-05-14,product_defect,0,4.0
351,257,2025-03-02,other,1,
352,284,2024-04-27,refund,0,3.0
353,12,2025-02-11,delivery,1,2.0
354,206,2024-03-28,refund,1,4.0
355,46,2024-06-16,product_defect,1,4.0
356,403,2024-09-15,refund,0,5.0
357,41,2024-09-25,billing,1,5.0
358,466,2024-01-17,delivery,1,1.0
359,29,2025-04-09,delivery,1,5.0
360,306,2024-01-04,delivery,1,4.0
361,167,2025-04-29,billing,0,
362,56,2024-04-23,product_defect,1,3.0
363,179,2025-01-25,refund,0,4.0
364,20,2025-01-26,refund,1,5.0
365,349,2024-09-08,other,1,4.0
366,436,2024-10-22,billing,1,3.0
367,165,2024-02-10,refund,0,1.0
368,220,2025-05-10,billing,1,2.0
369,71,2024-03-06,other,1,4.0
370,242,2024-12-28,refund,1,4.0
371,474,2024-01-01,refund,1,4.0
372,270,2025-02-14,refund,0,5.0
373,438,2024-07-16,refund,0,1.0
374,391,2024-09-21,billing,1,2.0
375,63,2024-01-13,refund,1,5.0
376,27,2024-04-30,delivery,0,5.0
377,182,2024-08-27,refund,1,5.0
378,471,2025-01-29,product_defect,1,5.0
379,85,2024-11-24,delivery,1,
380,23,2024-05-23,refund,1,
381,480,2024-11-23,delivery,1,4.0
382,99,2024-05-02,billing,1,3.0
383,178,2024-11-01,delivery,1,1.0
384,391,2024-10-24,delivery,1,4.0
385,50,2024-05-04,billing,1,4.0
386,86,2024-04-20,delivery,1,2.0
387,364,2024-10-12,product_defect,1,3.0
388,4,2024-11-18,refund,1,
389,356,2025-06-22,billing,1,2.0
390,272,2024-09-29,delivery,0,5.0
391,121,2024-09-01,delivery,1,
392,307,2024-09-18,delivery,0,5.0
393,161,2025-04-25,other,1,2.0
394,475,2024-06-17,billing,1,5.0
395,208,2024-07-28,delivery,0,5.0
396,375,2024-07-21,delivery,0,3.0
397,134,2024-12-08,delivery,1,4.0
398,417,2025-01-19,delivery,1,2.0
399,145,2024-09-22,delivery,1,5.0
400,254,2024-05-25,billing,1,
401,401,2025-01-13,delivery,0,4.0
402,464,2024-05-31,billing,1,
403,376,2025-05-08,delivery,0,4.0
404,334,2024-12-09,billing,0,5.0
405,347,2024-08-30,refund,1,5.0
406,204,2024-05-08,delivery,0,2.0
407,344,2025-02-20,billing,1,
408,288,2024-12-01,delivery,1,
409,261,2025-04-30,billing,1,4.0
410,157,2025-01-23,billing,1,5.0
411,176,2025-03-10,other,1,3.0
412,62,2024-02-20,billing,1,1.0
413,361,2024-01-14,delivery,1,3.0
414,12,2024-12-28,refund,1,4.0
415,59,2024-01-01,product_defect,1,2.0
416,147,2025-05-05,refund,1,3.0
417,71,2025-04-30,refund,1,
418,375,2024-11-17,delivery,1,4.0
419,64,2025-02-05,product_defect,1,5.0
420,229,2024-08-20,refund,0,3.0
421,367,2025-06-10,delivery,1,2.0
422,295,2024-01-20,other,1,5.0
423,296,2024-06-09,billing,1,3.0
424,173,2025-01-18,refund,1,4.0
425,226,2025-03-09,delivery,0,
426,384,2024-05-13,product_defect,1,3.0
427,239,2025-03-16,delivery,1,4.0
428,350,2024-09-10,product_defect,1,4.0
429,414,2025-04-16,billing,1,2.0
430,123,2024-05-26,delivery,1,5.0
431,61,2025-01-15,delivery,0,4.0
432,232,2024-04-24,delivery,0,3.0
433,192,2024-03-17,refund,1,4.0
434,75,2025-01-22,product_defect,1,4.0
435,381,2025-01-09,delivery,1,4.0
436,312,2024-06-10,other,1,
437,329,2024-11-28,product_defect,1,5.0
438,355,2025-06-01,delivery,0,4.0
439,218,2024-07-02,refund,1,
440,256,2024-10-02,refund,1,5.0
441,113,2024-04-24,refund,1,1.0
442,366,2024-10-11,product_defect,0,2.0
443,474,2025-05-01,delivery,1,3.0
444,437,2024-12-15,delivery,1,2.0
445,204,2024-03-19,delivery,1,4.0
446,25,2025-02-11,delivery,1,3.0
447,439,2024-08-20,product_defect,1,
448,288,2024-01-11,other,1,4.0
449,389,2024-12-08,product_defect,1,3.0
450,151,2024-06-13,other,1,
451,431,2025-06-18,product_defect,1,4.0
452,420,2025-07-01,delivery,1,2.0
453,9,2025-01-04,billing,0,2.0
454,283,2024-12-13,delivery,1,5.0
455,239,2024-06-16,delivery,1,4.0
456,329,2024-02-08,other,0,4.0
457,130,2024-02-03,product_defect,1,5.0
458,49,2024-09-12,other,1,5.0
459,138,2024-06-23,delivery,1,5.0
460,263,2025-06-12,billing,1,5.0
461,135,2024-06-10,delivery,1,5.0
462,233,2024-04-28,refund,0,2.0
463,195,2025-03-26,billing,0,4.0
464,348,2025-04-04,refund,0,4.0
465,206,2024-07-26,product_defect,1,4.0
466,73,2024-02-14,billing,1,4.0
467,318,2024-02-24,billing,0,4.0
468,107,2024-10-13,delivery,0,4.0
469,151,2025-04-23,delivery,1,4.0
470,354,2024-07-31,other,1,4.0
471,137,2024-01-10,product_defect,1,
472,31,2024-07-25,refund,1,4.0
473,181,2024-01-02,delivery,1,5.0
474,194,2024-08-20,delivery,1,4.0
475,344,2024-09-18,other,0,4.0
476,355,2025-02-05,refund,1,5.0
477,1,2024-02-08,billing,1,
478,379,2024-09-21,delivery,1,5.0
479,374,2024-04-07,delivery,1,
480,87,2024-09-13,product_defect,1,4.0
481,170,2025-06-25,billing,0,
482,384,2025-02-11,delivery,1,5.0
483,289,2025-04-09,refund,1,5.0
484,170,2024-01-22,product_defect,1,5.0
485,381,2025-02-24,delivery,1,5.0
486,316,2025-04-21,refund,0,4.0
487,256,2025-01-03,product_defect,1,4.0
488,4,2025-03-06,delivery,1,4.0
489,324,2024-01-27,product_defect,0,5.0
490,90,2025-02-10,delivery,0,3.0
491,460,2025-04-04,product_defect,1,5.0
492,95,2024-05-06,billing,1,4.0
493,15,2024-09-16,billing,1,4.0
494,189,2024-08-20,product_defect,1,2.0
495,175,2024-02-24,product_defect,0,3.0
496,177,2024-03-11,refund,1,4.0
497,464,2024-06-14,refund,1,4.0
498,138,2024-03-01,delivery,1,1.0
499,419,2024-10-03,product_defect,1,3.0
500,82,2024-01-31,delivery,1,4.0
501,309,2024-01-08,refund,1,3.0
502,66,2024-12-12,refund,0,3.0
503,115,2024-05-18,product_defect,1,5.0
504,75,2024-07-26,refund,1,5.0
505,166,2024-07-03,refund,1,
506,230,2024-09-15,product_defect,0,2.0
507,429,2024-09-12,other,1,3.0
508,379,2024-03-14,product_defect,1,2.0
509,350,2024-01-02,delivery,1,4.0
510,245,2024-08-31,billing,1,1.0
511,143,2024-11-06,delivery,0,3.0
512,149,2025-02-26,delivery,1,4.0
513,67,2024-04-18,delivery,1,4.0
514,333,2024-02-16,refund,1,4.0
515,391,2024-11-24,product_defect,1,4.0
516,274,2025-05-11,refund,1,5.0
517,289,2024-05-11,billing,1,4.0
518,187,2024-02-17,product_defect,1,3.0
519,482,2024-08-09,delivery,0,4.0
520,444,2024-11-04,refund,1,2.0
521,204,2024-12-08,product_defect,0,1.0
522,378,2024-03-03,refund,0,4.0
523,175,2024-12-27,refund,0,3.0
524,62,2024-07-07,refund,1,1.0
525,146,2024-01-17,refund,0,5.0
526,418,2025-05-22,refund,1,5.0
527,241,2024-10-21,billing,0,2.0
528,433,2024-06-16,delivery,1,4.0
529,162,2025-03-25,delivery,0,
530,230,2025-03-14,product_defect,1,3.0
531,37,2024-04-23,billing,1,5.0
532,391,2025-06-12,product_defect,1,3.0
533,157,2024-10-19,refund,1,
534,46,2024-05-24,other,1,1.0
535,110,2024-09-03,refund,1,3.0
536,333,2024-04-13,refund,1,
537,408,2025-04-12,product_defect,1,5.0
538,478,2024-05-27,refund,0,3.0
539,118,2024-08-29,product_defect,1,5.0
540,296,2024-02-07,other,1,5.0
541,230,2025-06-03,delivery,1,4.0
542,358,2024-06-15,delivery,1,3.0
543,337,2024-12-24,refund,1,3.0
544,36,2024-07-13,refund,1,
545,75,2024-11-04,product_defect,1,3.0
546,296,2024-11-04,other,0,3.0
547,266,2024-06-09,product_defect,1,2.0
548,443,2024-08-25,other,1,2.0
549,424,2024-11-24,delivery,1,4.0
550,30,2024-04-29,delivery,1,4.0
551,293,2024-03-13,refund,0,1.0
552,204,2024-04-08,billing,1,2.0
553,242,2024-08-16,delivery,1,1.0
554,33,2024-04-27,delivery,1,1.0
555,420,2024-06-05,refund,1,3.0
556,83,2025-01-12,refund,0,5.0
557,474,2025-01-03,product_defect,1,1.0
558,466,2025-06-02,billing,1,3.0
559,411,2025-02-24,delivery,1,4.0
560,59,2024-08-21,refund,0,5.0
561,205,2025-05-25,delivery,0,5.0
562,12,2025-05-21,delivery,0,
563,306,2024-05-02,refund,1,3.0
564,433,2024-04-04,product_defect,1,1.0
565,264,2025-05-01,product_defect,0,1.0
566,12,2025-05-04,product_defect,1,2.0
567,152,2025-04-10,billing,1,
568,86,2024-09-10,delivery,1,4.0
569,218,2025-04-19,product_defect,0,5.0
570,186,2025-02-26,product_defect,0,
571,415,2025-02-11,delivery,1,5.0
572,111,2024-11-27,refund,1,4.0
573,151,2024-05-27,delivery,1,5.0
574,119,2025-02-14,delivery,1,4.0
575,445,2025-04-27,delivery,1,2.0
576,148,2025-05-01,delivery,1,4.0
577,496,2024-11-25,other,1,
578,334,2024-01-22,billing,0,5.0
579,154,2025-02-11,product_defect,0,4.0
580,298,2024-05-19,product_defect,1,5.0
581,62,2024-04-22,other,1,4.0
582,452,2024-02-13,refund,1,5.0
583,479,2024-03-27,refund,1,3.0
584,147,2024-09-26,product_defect,1,3.0
585,86,2024-06-01,other,0,3.0
586,215,2024-07-28,billing,1,5.0
587,386,2024-10-08,delivery,1,
588,314,2024-10-16,product_defect,0,3.0
589,20,2024-08-17,delivery,0,3.0
590,5,2024-09-06,delivery,1,2.0
591,118,2025-05-03,refund,1,5.0
592,378,2024-06-04,product_defect,1,4.0
593,131,2024-01-08,delivery,1,4.0
594,448,2025-03-16,refund,1,1.0
595,149,2024-02-14,product_defect,1,2.0
596,447,2025-03-01,delivery,1,
597,460,2024-06-27,billing,1,4.0
598,364,2025-04-07,refund,1,3.0
599,88,2024-04-02,product_defect,0,3.0
600,36,2024-03-31,delivery,0,3.0
601,87,2024-08-11,other,1,2.0
602,317,2024-08-18,other,1,1.0
603,346,2025-01-29,delivery,1,5.0
604,493,2024-12-22,product_defect,0,3.0
605,477,2025-06-30,billing,0,4.0
606,154,2025-01-07,delivery,1,4.0
607,195,2024-04-21,product_defect,1,3.0
608,387,2024-02-18,billing,1,4.0
609,387,2024-05-26,refund,1,5.0
610,157,2025-06-24,other,1,3.0
611,16,2025-02-26,delivery,1,5.0
612,49,2025-02-11,other,1,3.0
613,413,2024-05-29,other,1,3.0
614,175,2024-09-14,delivery,1,2.0
615,362,2025-01-22,refund,0,5.0
616,401,2025-06-04,product_defect,0,4.0
617,449,2024-11-16,billing,1,5.0
618,247,2024-01-12,delivery,1,2.0
619,319,2025-04-15,refund,1,4.0
620,98,2025-05-28,billing,0,1.0
621,471,2024-01-19,refund,1,3.0
622,442,2024-08-03,product_defect,1,4.0
623,195,2025-06-22,product_defect,1,2.0
624,184,2025-06-08,other,1,4.0
625,367,2025-06-14,delivery,1,4.0
626,208,2025-06-20,other,1,5.0
627,363,2024-01-13,product_defect,1,5.0
628,46,2024-03-24,other,0,2.0
629,135,2024-10-01,delivery,0,2.0
630,391,2024-11-27,product_defect,1,4.0
631,461,2024-08-08,billing,1,3.0
632,14,2024-05-27,billing,1,3.0
633,390,2024-05-19,delivery,0,3.0
634,35,2024-11-27,refund,1,4.0
635,434,2025-06-21,delivery,1,4.0
636,127,2025-03-30,delivery,1,1.0
637,182,2024-04-06,product_defect,0,3.0
638,359,2024-03-22,other,1,3.0
639,421,2024-05-24,product_defect,1,3.0
640,208,2025-02-07,delivery,1,5.0
641,158,2024-01-05,delivery,0,3.0
642,490,2025-01-22,refund,1,3.0
643,483,2024-11-15,delivery,1,5.0
644,263,2024-12-28,billing,0,4.0
645,12,2025-04-18,delivery,1,3.0
646,485,2024-11-21,delivery,1,5.0
647,310,2024-12-08,product_defect,1,5.0
648,277,2024-09-21,delivery,1,
649,57,2024-12-24,refund,0,5.0
650,497,2024-07-28,refund,0,5.0
651,360,2024-02-06,delivery,0,3.0
652,109,2024-01-14,product_defect,1,4.0
653,182,2025-01-28,refund,1,2.0
654,172,2024-12-16,product_defect,1,4.0
655,436,2024-08-12,delivery,1,
656,238,2025-02-14,refund,1,1.0
657,437,2024-09-17,product_defect,1,5.0
658,344,2024-05-20,delivery,0,4.0
659,185,2024-11-17,delivery,1,3.0
660,203,2024-07-26,delivery,1,5.0
661,405,2025-06-20,delivery,1,4.0
662,250,2025-01-31,delivery,1,4.0
663,341,2025-02-15,other,1,4.0
664,62,2025-01-13,refund,1,2.0
665,214,2025-01-11,refund,0,2.0
666,289,2025-03-01,delivery,1,5.0
667,172,2024-08-25,delivery,1,5.0
668,424,2025-03-27,billing,1,5.0
669,106,2024-01-19,product_defect,1,5.0
670,425,2025-01-01,other,1,5.0
671,32,2024-10-23,delivery,1,1.0
672,214,2024-01-05,delivery,0,5.0
673,259,2024-12-29,product_defect,1,5.0
674,127,2024-01-02,refund,1,3.0
675,271,2025-01-22,delivery,1,4.0
676,451,2024-10-15,refund,1,5.0
677,223,2024-11-30,delivery,1,
678,270,2024-12-01,billing,0,
679,476,2024-06-14,billing,1,4.0
680,462,2024-12-08,product_defect,1,5.0
681,7,2024-05-01,refund,1,4.0
682,364,2025-02-21,billing,1,5.0
683,426,2024-02-19,product_defect,1,4.0
684,472,2024-03-18,billing,0,
685,401,2025-01-21,refund,1,
686,42,2024-02-01,other,1,3.0
