customer_id,tenure_months,contract_type,monthly_bill,data_used_gb,support_calls,is_senior,payment_method,churn
1561,30,month-to-month,64.04,3.9,1,0,bank_transfer,0
573,68,month-to-month,20.74,9.5,1,0,cheque,1
1365,18,one_year,33.93,4.3,0,0,bank_transfer,0
866,1,month-to-month,106.76,7.5,1,0,bank_transfer,1
1573,6,month-to-month,63.63,15.7,3,0,bank_transfer,1
1271,13,month-to-month,,11.5,0,0,debit,0
211,67,one_year,33.17,4.6,0,0,cheque,0
1243,41,one_year,94.76,16.6,1,0,bank_transfer,0
232,9,month-to-month,98.08,12.3,3,0,bank_transfer,0
1467,12,month-to-month,108.47,4.8,0,0,bank_transfer,1
1945,24,one_year,87.64,6.8,2,0,credit_card,0
1872,33,month-to-month,64.61,16.6,1,1,debit,1
1552,49,one_year,76.41,10.9,1,0,credit_card,0
1458,38,month-to-month,,9.9,0,0,bank_transfer,0
1461,17,one_year,73.09,6.4,1,0,credit_card,0
306,23,one_year,60.19,9.7,4,0,cheque,1
1121,15,two_year,57.89,5.8,4,0,bank_transfer,0
212,2,two_year,35.59,9.1,0,0,debit,1
71,7,month-to-month,58.28,14.5,0,0,debit,1
112,37,one_year,60.89,11.0,0,0,cheque,0
423,62,month-to-month,33.46,12.3,2,0,credit_card,0
1653,34,one_year,75.23,18.7,3,1,debit,1
317,24,one_year,56.66,9.5,0,0,debit,0
1673,59,one_year,58.07,10.7,2,0,debit,0
1661,15,month-to-month,61.51,27.0,1,1,credit_card,1
1557,70,month-to-month,44.49,16.1,0,0,cheque,0
298,27,one_year,92.64,18.4,2,0,debit,0
944,70,two_year,76.69,16.3,2,0,cheque,0
1493,13,one_year,100.01,23.3,1,0,bank_transfer,0
345,53,month-to-month,106.16,14.5,1,0,credit_card,0
1290,26,month-to-month,38.75,16.1,3,0,debit,1
562,20,month-to-month,75.53,28.1,2,0,cheque,0
1289,3,month-to-month,78.91,9.3,1,0,credit_card,1
1413,42,one_year,59.46,9.3,0,0,bank_transfer,1
299,2,month-to-month,65.93,6.1,0,0,credit_card,1
1068,55,one_year,20.85,8.7,0,0,cheque,0
923,67,month-to-month,80.54,17.8,1,0,bank_transfer,0
472,31,month-to-month,77.86,8.9,0,0,bank_transfer,1
1291,20,month-to-month,101.1,12.4,2,0,credit_card,1
1732,23,month-to-month,102.68,8.5,0,1,debit,0
1563,20,two_year,87.79,4.8,0,0,credit_card,0
1492,59,month-to-month,57.84,11.6,1,1,debit,0
1250,14,one_year,70.57,,1,0,bank_transfer,0
70,9,two_year,81.57,10.9,0,0,debit,0
585,69,one_year,56.47,8.3,1,0,debit,0
1484,62,two_year,87.72,10.2,0,0,bank_transfer,0
860,68,month-to-month,78.74,32.4,2,0,credit_card,1
1504,44,month-to-month,103.14,3.0,4,0,cheque,1
100,35,month-to-month,57.99,12.3,0,0,debit,0
1754,23,one_year,59.02,5.3,0,0,bank_transfer,0
1988,40,month-to-month,,20.7,3,0,bank_transfer,1
789,60,month-to-month,105.06,12.4,1,0,bank_transfer,0
1542,26,month-to-month,88.71,17.7,0,1,bank_transfer,0
1095,26,one_year,28.85,17.3,0,0,debit,0
728,17,month-to-month,89.05,15.0,2,0,credit_card,0
1011,63,month-to-month,106.87,9.5,1,0,credit_card,1
1629,52,month-to-month,,5.8,1,0,debit,0
308,54,month-to-month,45.53,23.8,0,0,credit_card,0
933,33,month-to-month,78.11,20.2,4,0,credit_card,1
766,36,one_year,75.37,3.4,3,0,credit_card,0
862,26,month-to-month,76.41,7.6,0,1,cheque,1
1178,72,one_year,38.19,14.8,2,0,cheque,0
809,7,month-to-month,90.24,11.6,1,0,cheque,0
1957,69,month-to-month,27.37,18.1,1,0,debit,0
1744,50,one_year,101.69,16.8,0,1,cheque,0
1382,22,month-to-month,107.32,18.5,0,0,cheque,1
325,60,month-to-month,33.57,1.8,1,0,cheque,0
394,1,one_year,,6.8,1,0,cheque,1
788,13,one_year,80.73,28.1,0,0,debit,0
415,15,one_year,22.86,15.2,2,0,bank_transfer,0
238,39,one_year,98.84,12.8,1,0,credit_card,0
421,5,one_year,21.98,10.1,1,1,cheque,0
383,48,month-to-month,78.34,14.6,2,0,debit,1
989,55,month-to-month,108.62,20.8,1,0,credit_card,0
1614,49,month-to-month,63.75,8.0,0,0,cheque,1
1695,32,one_year,85.7,11.9,0,0,bank_transfer,0
745,17,two_year,20.66,18.3,1,1,debit,1
932,41,one_year,109.26,23.4,2,0,debit,0
1054,49,one_year,28.95,3.9,0,0,cheque,0
1335,52,month-to-month,78.81,30.1,0,0,bank_transfer,0
257,38,month-to-month,99.95,20.8,1,0,cheque,0
1743,59,month-to-month,51.38,7.9,1,1,cheque,0
693,71,one_year,60.82,15.8,0,0,cheque,0
1308,44,one_year,80.76,16.5,0,0,bank_transfer,0
620,30,month-to-month,90.48,13.2,1,0,cheque,0
1209,18,month-to-month,68.28,10.7,2,0,debit,0
1588,5,month-to-month,44.61,27.9,2,1,debit,0
758,24,one_year,51.2,9.9,0,0,cheque,0
614,30,one_year,80.77,9.1,1,0,cheque,0
1668,19,one_year,92.24,16.3,0,0,debit,0
1738,10,two_year,102.0,6.9,0,0,cheque,0
481,64,month-to-month,86.82,16.2,2,0,cheque,0
1310,23,two_year,86.62,12.6,2,0,bank_transfer,0
539,72,month-to-month,93.3,,1,0,credit_card,0
977,2,month-to-month,61.74,20.6,2,0,bank_transfer,1
756,65,month-to-month,57.76,14.4,0,0,cheque,0
904,32,month-to-month,90.4,18.8,3,0,bank_transfer,1
833,66,two_year,66.16,8.2,2,0,credit_card,0
905,38,one_year,93.24,12.6,3,0,credit_card,0
1273,63,month-to-month,87.1,11.2,1,0,debit,0
608,68,month-to-month,58.39,9.2,0,0,debit,0
694,72,one_year,93.96,10.0,0,1,bank_transfer,0
1886,10,month-to-month,102.77,9.5,0,0,bank_transfer,1
1533,12,one_year,40.59,13.5,1,1,credit_card,1
116,13,one_year,29.96,7.5,1,1,credit_card,0
592,15,one_year,31.17,21.6,0,0,bank_transfer,0
1842,40,month-to-month,50.05,28.7,2,0,cheque,0
939,4,month-to-month,,19.0,1,0,credit_card,1
1655,39,month-to-month,26.84,34.8,1,0,cheque,0
582,56,month-to-month,90.21,11.2,1,0,debit,1
252,57,one_year,60.54,30.9,0,0,cheque,0
1034,24,one_year,86.15,20.5,0,0,bank_transfer,0
1236,51,month-to-month,37.36,5.1,1,0,debit,0
1311,1,one_year,30.62,2.1,2,0,debit,1
353,56,one_year,24.31,23.6,1,0,bank_transfer,0
549,37,one_year,44.11,14.3,1,0,bank_transfer,0
121,46,month-to-month,93.37,29.2,1,0,credit_card,0
1511,22,month-to-month,78.71,9.8,1,1,bank_transfer,1
290,39,one_year,,5.9,2,1,credit_card,0
1223,36,month-to-month,98.78,13.7,3,0,debit,1
1564,55,month-to-month,102.03,5.3,3,0,credit_card,1
213,37,month-to-month,33.83,14.7,2,0,bank_transfer,1
136,9,two_year,,6.2,2,0,bank_transfer,1
1331,30,month-to-month,48.72,15.2,3,0,cheque,1
1627,55,month-to-month,37.54,10.5,1,0,bank_transfer,0
1556,65,two_year,107.73,15.8,2,1,credit_card,0
352,35,two_year,81.44,10.2,2,0,bank_transfer,1
1180,44,month-to-month,67.97,21.4,0,0,cheque,1
737,14,month-to-month,36.53,16.6,1,0,credit_card,0
731,22,month-to-month,41.18,25.8,3,0,credit_card,1
675,59,month-to-month,47.66,19.1,1,0,credit_card,0
110,9,month-to-month,63.1,14.9,1,0,bank_transfer,1
1775,43,month-to-month,95.46,11.6,1,1,bank_transfer,0
1940,54,month-to-month,104.27,12.9,1,1,bank_transfer,1
276,8,one_year,20.46,11.5,3,0,debit,1
1380,6,month-to-month,61.81,15.7,1,1,cheque,1
1468,62,month-to-month,55.88,10.3,0,0,credit_card,0
1176,34,month-to-month,104.15,31.0,1,0,debit,1
1290,26,month-to-month,38.75,16.1,3,0,debit,1
1503,17,one_year,89.79,6.8,1,1,debit,0
983,1,one_year,61.52,,1,0,credit_card,1
343,32,one_year,95.82,5.5,2,0,debit,0
786,34,one_year,100.01,10.5,1,0,debit,0
508,27,two_year,,11.0,1,0,bank_transfer,0
355,16,one_year,36.31,14.7,1,0,credit_card,0
746,67,month-to-month,90.7,9.9,1,1,cheque,0
1115,44,one_year,86.26,9.7,1,0,debit,0
1375,71,two_year,104.61,10.7,3,0,bank_transfer,0
484,15,month-to-month,83.35,21.5,2,0,credit_card,0
255,15,two_year,44.76,4.5,0,0,credit_card,1
1822,6,month-to-month,29.33,16.6,3,0,bank_transfer,1
434,28,two_year,108.28,11.9,0,0,bank_transfer,0
545,22,month-to-month,21.55,12.6,2,0,bank_transfer,1
307,46,one_year,20.56,7.3,1,0,credit_card,0
428,25,month-to-month,64.15,15.7,0,1,cheque,1
988,15,two_year,98.85,8.5,1,1,cheque,1
276,8,one_year,20.46,11.5,3,0,debit,1
1804,58,one_year,,,5,0,credit_card,0
568,21,month-to-month,67.63,22.4,0,0,credit_card,1
1119,4,month-to-month,,14.5,1,0,bank_transfer,0
1840,7,month-to-month,51.1,5.3,3,0,bank_transfer,1
1421,38,month-to-month,,5.4,2,1,debit,0
417,22,month-to-month,45.88,26.1,1,0,cheque,0
240,16,month-to-month,38.09,13.8,1,0,credit_card,1
433,61,two_year,41.42,3.7,1,1,cheque,0
50,29,month-to-month,24.97,10.0,1,0,bank_transfer,0
1371,17,two_year,59.47,2.3,1,1,cheque,1
807,51,month-to-month,95.89,17.7,2,0,bank_transfer,1
271,47,two_year,85.47,22.0,3,0,credit_card,0
1478,5,one_year,39.41,15.3,2,0,credit_card,1
1613,47,one_year,,5.8,2,1,cheque,1
1445,72,month-to-month,43.81,4.3,1,0,bank_transfer,0
803,3,month-to-month,38.37,10.5,1,0,debit,1
1482,72,month-to-month,58.25,18.2,1,0,cheque,0
174,17,month-to-month,95.12,16.2,1,1,cheque,1
577,62,two_year,105.6,10.6,1,0,bank_transfer,0
813,33,two_year,20.3,18.8,2,0,debit,1
322,38,month-to-month,77.38,15.1,0,0,cheque,0
248,3,two_year,98.69,15.6,1,0,cheque,1
463,49,two_year,44.61,6.9,2,0,credit_card,0
1938,49,one_year,63.69,4.3,0,0,cheque,0
618,29,one_year,33.12,5.1,0,0,cheque,0
24,12,month-to-month,81.06,8.2,3,0,debit,1
1857,27,one_year,80.47,19.8,0,1,bank_transfer,0
64,31,one_year,73.51,,2,0,credit_card,1
1010,52,month-to-month,86.25,5.8,0,0,credit_card,1
189,8,month-to-month,46.18,20.8,3,0,credit_card,0
835,30,one_year,56.55,7.1,1,0,cheque,0
1341,34,month-to-month,91.31,15.7,4,0,credit_card,0
1890,63,month-to-month,38.94,24.4,1,1,credit_card,0
368,20,month-to-month,89.85,6.2,0,0,debit,0
282,18,month-to-month,83.77,6.0,3,0,cheque,1
1809,35,one_year,104.29,3.7,0,0,credit_card,0
520,56,month-to-month,34.22,4.8,1,0,cheque,0
197,70,one_year,87.83,9.8,0,0,credit_card,0
583,48,one_year,32.46,10.5,2,0,bank_transfer,0
1946,31,one_year,51.21,14.6,0,0,bank_transfer,1
1030,16,month-to-month,37.44,4.1,1,1,bank_transfer,1
1434,24,two_year,20.56,16.3,1,0,credit_card,0
1318,32,two_year,61.32,8.0,0,0,cheque,1
101,8,month-to-month,89.16,19.1,0,0,bank_transfer,1
1675,1,month-to-month,75.54,21.9,0,0,credit_card,0
1085,38,month-to-month,84.33,17.5,3,0,credit_card,0
1964,25,month-to-month,106.59,29.9,2,0,bank_transfer,1
221,56,month-to-month,32.96,4.9,1,0,cheque,1
1344,63,month-to-month,85.6,8.6,3,0,bank_transfer,0
1838,3,one_year,29.86,13.7,2,0,debit,1
479,34,month-to-month,100.02,4.4,2,1,bank_transfer,1
1064,66,month-to-month,80.71,3.9,3,0,debit,0
1259,59,two_year,81.01,14.2,1,0,credit_card,1
1584,48,month-to-month,64.48,10.6,1,0,cheque,0
619,65,month-to-month,71.27,15.6,0,0,cheque,0
671,16,month-to-month,21.88,10.7,3,1,bank_transfer,1
846,17,two_year,30.76,18.2,0,1,credit_card,0
655,48,month-to-month,41.15,13.4,0,0,cheque,0
695,15,two_year,108.99,8.5,1,0,bank_transfer,1
652,15,one_year,61.7,7.8,1,1,debit,0
1862,10,month-to-month,89.61,16.7,0,0,debit,0
1300,72,one_year,46.69,8.4,1,0,debit,0
1648,67,month-to-month,96.81,12.9,0,0,cheque,0
910,48,two_year,54.74,4.2,2,0,bank_transfer,0
369,26,one_year,24.53,18.3,1,1,cheque,0
1491,9,one_year,28.88,6.1,2,0,cheque,0
1282,25,two_year,20.93,5.3,3,0,cheque,0
79,17,two_year,67.63,7.3,1,0,credit_card,0
1005,27,one_year,101.75,4.3,4,0,debit,0
33,24,month-to-month,31.45,6.9,1,0,bank_transfer,0
1547,14,two_year,66.43,4.2,1,0,bank_transfer,0
1008,62,month-to-month,88.36,28.0,1,0,cheque,0
1014,66,one_year,57.99,15.5,1,0,bank_transfer,0
584,54,two_year,69.56,17.0,0,0,debit,0
164,15,one_year,46.56,25.6,5,0,credit_card,1
204,50,month-to-month,33.28,2.5,1,0,cheque,0
1525,9,month-to-month,32.22,15.8,1,0,cheque,0
439,6,month-to-month,39.28,10.6,1,0,cheque,0
1345,69,month-to-month,75.93,11.4,2,0,cheque,0
922,60,month-to-month,66.89,10.8,0,0,cheque,0
1234,35,month-to-month,64.71,12.2,4,0,debit,1
1991,55,month-to-month,57.94,8.6,0,0,bank_transfer,0
1194,31,one_year,64.08,10.6,0,0,credit_card,0
1406,59,one_year,30.67,8.2,2,0,credit_card,0
1090,58,month-to-month,66.75,12.5,1,0,cheque,0
1949,6,month-to-month,104.09,19.3,0,1,bank_transfer,1
219,25,month-to-month,47.74,5.9,2,0,credit_card,0
1956,34,one_year,69.8,14.0,0,1,bank_transfer,0
874,22,one_year,48.23,24.7,1,0,credit_card,1
773,63,one_year,40.73,8.2,0,0,cheque,0
362,61,month-to-month,20.92,10.0,0,0,debit,1
1091,42,one_year,71.53,28.5,2,0,cheque,0
60,22,month-to-month,56.06,5.8,1,0,debit,0
1494,26,month-to-month,34.46,9.2,1,0,bank_transfer,1
535,8,two_year,73.95,24.6,2,0,bank_transfer,0
74,5,month-to-month,32.34,7.9,2,0,cheque,1
163,61,month-to-month,55.13,8.6,0,0,cheque,1
744,19,month-to-month,51.29,,1,0,debit,1
530,44,month-to-month,22.04,5.8,2,1,credit_card,0
1396,39,one_year,70.59,6.2,0,0,cheque,0
1058,19,month-to-month,100.04,7.3,0,0,credit_card,1
600,8,two_year,40.2,1.5,3,0,cheque,1
1235,72,month-to-month,20.24,6.7,2,0,bank_transfer,0
46,30,one_year,64.44,9.6,0,0,bank_transfer,0
1980,26,month-to-month,23.2,4.5,0,0,debit,0
354,58,month-to-month,30.6,9.8,0,0,debit,0
527,34,month-to-month,66.7,6.5,0,0,debit,0
556,14,month-to-month,61.04,17.8,0,0,bank_transfer,0
77,63,one_year,64.66,12.9,2,0,cheque,0
1942,57,two_year,86.1,20.3,2,0,credit_card,0
1432,8,month-to-month,65.28,15.1,0,0,bank_transfer,0
1834,69,one_year,26.75,49.8,0,0,cheque,0
1965,45,two_year,25.72,10.7,2,0,cheque,1
1718,47,month-to-month,80.51,23.2,0,0,debit,0
1966,59,month-to-month,,24.7,1,1,debit,1
1702,12,month-to-month,43.49,16.4,1,0,cheque,0
31,70,two_year,24.19,11.2,4,0,bank_transfer,0
1759,6,month-to-month,108.9,9.1,2,1,bank_transfer,1
1532,13,month-to-month,25.11,5.3,1,0,credit_card,0
375,59,one_year,79.3,14.6,0,0,bank_transfer,0
1221,4,one_year,84.53,8.0,1,0,credit_card,0
818,45,two_year,66.46,9.0,2,0,debit,0
680,48,month-to-month,57.58,14.4,1,1,bank_transfer,0
1845,1,one_year,,28.4,2,0,credit_card,1
1570,57,month-to-month,40.13,5.4,2,0,credit_card,0
1587,48,one_year,94.75,26.7,0,1,credit_card,0
837,18,one_year,56.64,5.4,1,0,debit,1
1593,10,month-to-month,39.72,15.4,2,1,debit,1
45,54,one_year,50.31,2.0,1,0,bank_transfer,0
536,15,month-to-month,90.92,19.0,0,0,credit_card,1
169,52,month-to-month,79.18,11.1,0,0,credit_card,0
304,56,month-to-month,75.52,,1,0,bank_transfer,0
1681,70,one_year,84.12,14.6,2,1,debit,0
430,18,one_year,92.47,9.8,2,1,debit,0
1950,34,two_year,63.55,25.8,1,0,bank_transfer,0
1403,36,month-to-month,24.47,3.6,1,0,cheque,0
1433,49,one_year,78.88,7.5,1,1,bank_transfer,0
675,59,month-to-month,47.66,19.1,1,0,credit_card,0
395,24,month-to-month,52.33,16.4,1,0,cheque,1
1633,8,one_year,99.57,9.2,1,0,debit,1
591,16,month-to-month,39.32,,1,1,credit_card,0
1190,33,two_year,20.09,18.9,2,1,cheque,0
775,37,month-to-month,80.45,4.5,1,0,debit,1
1669,44,two_year,61.62,5.7,2,0,cheque,0
1088,8,month-to-month,39.24,4.3,0,0,cheque,0
1037,55,month-to-month,39.45,6.0,1,0,debit,0
186,21,one_year,41.23,12.4,3,0,cheque,1
1784,59,one_year,56.06,8.6,1,1,bank_transfer,1
1339,60,one_year,50.29,23.5,1,0,debit,0
1451,57,month-to-month,27.69,8.9,2,0,cheque,0
1641,5,month-to-month,92.84,8.2,0,0,debit,0
301,43,one_year,86.87,4.5,1,0,bank_transfer,0
1515,70,one_year,27.91,5.2,3,0,credit_card,0
1910,57,two_year,107.08,8.5,1,0,cheque,0
1387,22,month-to-month,96.58,5.5,1,0,credit_card,1
1620,35,month-to-month,66.67,,4,0,bank_transfer,0
870,33,one_year,105.81,4.6,3,0,credit_card,0
1958,46,month-to-month,97.66,7.3,0,0,bank_transfer,0
1788,4,month-to-month,,25.1,2,1,cheque,1
1923,31,two_year,63.08,17.6,0,0,debit,0
176,1,month-to-month,100.32,6.6,2,0,cheque,1
1415,11,two_year,37.95,13.9,2,0,credit_card,0
747,39,one_year,28.94,5.1,6,0,bank_transfer,1
1630,18,one_year,68.43,,2,0,bank_transfer,0
124,36,month-to-month,100.24,4.7,0,0,cheque,0
967,31,one_year,48.7,7.5,1,0,credit_card,0
1764,43,month-to-month,20.25,8.5,0,0,cheque,0
942,4,two_year,93.56,10.7,4,0,debit,1
40,56,month-to-month,25.85,4.2,1,0,credit_card,0
594,27,month-to-month,61.69,8.1,0,0,bank_transfer,0
722,13,one_year,34.2,15.7,0,1,cheque,0
332,54,month-to-month,48.06,9.8,0,0,credit_card,0
963,35,two_year,103.08,15.9,3,0,debit,1
195,37,month-to-month,72.73,,0,0,bank_transfer,1
533,9,month-to-month,35.3,3.7,0,0,cheque,1
1340,67,one_year,74.12,2.2,1,0,cheque,0
1735,57,two_year,31.82,9.0,2,0,cheque,0
323,20,month-to-month,47.73,12.9,1,0,debit,1
1212,56,month-to-month,31.28,16.8,0,0,bank_transfer,0
267,70,one_year,23.25,7.7,1,0,debit,0
1294,70,month-to-month,56.69,11.4,1,1,bank_transfer,0
1448,69,two_year,58.34,10.1,0,1,credit_card,0
68,51,month-to-month,,,0,1,cheque,0
969,42,two_year,42.51,13.9,1,1,bank_transfer,0
1606,31,month-to-month,53.9,11.2,0,0,credit_card,0
1363,20,one_year,90.48,5.9,1,1,cheque,0
1976,39,month-to-month,67.66,23.4,0,0,credit_card,0
515,15,month-to-month,93.36,12.4,2,0,debit,1
1330,6,month-to-month,71.96,11.3,0,0,cheque,0
1429,35,two_year,30.99,7.0,1,0,debit,0
1119,4,month-to-month,,14.5,1,0,bank_transfer,0
1353,36,two_year,67.14,5.3,2,0,credit_card,0
1553,64,two_year,62.31,10.7,0,0,cheque,0
1786,19,month-to-month,38.67,7.2,1,0,bank_transfer,0
1654,48,two_year,94.87,24.1,0,0,debit,0
707,70,month-to-month,45.37,16.3,2,1,cheque,1
586,20,month-to-month,77.01,14.3,1,0,debit,1
1674,7,month-to-month,96.3,13.1,3,1,bank_transfer,1
638,37,two_year,32.0,7.1,0,0,debit,0
1457,37,one_year,91.19,8.9,0,0,credit_card,0
1550,44,month-to-month,73.14,9.1,0,0,debit,0
1836,30,month-to-month,82.96,11.2,0,1,cheque,1
1824,22,month-to-month,27.73,6.7,1,0,bank_transfer,0
681,51,month-to-month,73.95,22.1,1,0,credit_card,0
1774,54,one_year,78.43,9.5,0,0,debit,0
1303,23,two_year,106.77,11.9,1,0,bank_transfer,0
1753,18,one_year,53.01,5.7,1,0,cheque,1
760,28,month-to-month,48.44,20.4,1,0,debit,1
1240,54,two_year,106.88,10.9,1,0,cheque,0
262,50,one_year,82.91,3.4,1,0,cheque,0
465,70,two_year,83.31,11.2,1,0,bank_transfer,0
986,31,month-to-month,58.3,4.4,1,0,cheque,1
241,18,one_year,104.61,11.1,1,0,bank_transfer,0
1285,56,month-to-month,,7.7,3,0,cheque,1
1929,31,month-to-month,69.92,13.6,0,1,cheque,0
1953,16,month-to-month,82.28,16.5,1,0,debit,1
1400,45,month-to-month,82.77,11.2,2,0,bank_transfer,0
611,10,month-to-month,29.5,22.1,2,0,debit,1
366,54,month-to-month,,2.6,2,0,credit_card,1
1035,55,one_year,54.95,11.4,0,0,cheque,0
1256,26,month-to-month,75.53,6.8,0,0,cheque,1
597,45,month-to-month,24.18,10.7,2,0,debit,0
1051,57,month-to-month,20.18,4.7,0,0,debit,0
1275,15,two_year,72.39,19.0,1,1,bank_transfer,0
589,52,one_year,41.61,8.6,2,0,debit,0
72,22,one_year,59.77,7.2,0,0,bank_transfer,0
651,17,month-to-month,27.5,19.2,1,0,credit_card,1
260,49,two_year,107.56,6.4,0,0,cheque,0
52,58,two_year,82.53,4.6,1,0,cheque,0
199,66,month-to-month,91.74,3.6,1,0,credit_card,0
951,27,one_year,104.67,9.0,0,1,cheque,0
916,52,two_year,83.79,21.0,0,0,bank_transfer,0
333,4,one_year,54.31,7.9,1,0,debit,0
1377,23,month-to-month,28.29,14.6,0,0,debit,0
781,39,month-to-month,68.65,7.3,0,1,cheque,0
451,64,one_year,,16.5,1,0,bank_transfer,0
544,28,month-to-month,101.1,9.8,1,0,credit_card,1
1264,26,month-to-month,96.29,13.0,1,0,debit,0
480,54,one_year,79.85,15.8,0,1,debit,0
915,37,two_year,107.7,26.0,1,0,debit,0
1430,15,month-to-month,47.73,10.0,0,0,credit_card,0
711,30,one_year,61.8,13.0,1,0,bank_transfer,0
427,23,month-to-month,20.97,9.3,4,0,cheque,1
924,6,one_year,,27.7,0,0,credit_card,1
1517,47,two_year,24.4,13.3,1,0,credit_card,0
621,33,month-to-month,79.23,4.5,2,1,credit_card,1
999,71,month-to-month,25.25,8.4,0,0,bank_transfer,0
354,58,month-to-month,30.6,9.8,0,0,debit,0
486,44,two_year,73.57,16.5,1,0,cheque,0
734,53,two_year,93.12,2.9,0,0,bank_transfer,0
399,6,one_year,,8.0,3,0,credit_card,1
1166,61,two_year,31.5,9.0,0,1,debit,0
437,44,two_year,63.02,9.4,2,0,bank_transfer,0
193,68,one_year,25.37,7.1,1,0,debit,0
1453,16,two_year,88.98,6.2,2,1,cheque,1
1898,54,month-to-month,80.37,13.5,0,0,cheque,0
293,38,month-to-month,30.06,24.0,1,0,bank_transfer,0
487,30,two_year,,18.4,0,1,bank_transfer,1
631,26,one_year,63.52,24.2,2,0,credit_card,0
819,14,two_year,42.08,20.9,4,0,debit,1
1601,68,one_year,43.91,7.5,2,0,credit_card,0
1760,49,one_year,103.52,5.8,1,1,debit,0
142,54,two_year,78.69,9.5,3,0,cheque,0
1992,45,two_year,70.18,14.3,0,0,bank_transfer,0
3,32,one_year,95.47,9.9,3,0,cheque,1
772,59,one_year,107.38,18.1,1,0,credit_card,0
1895,68,month-to-month,72.42,8.5,1,1,debit,0
1174,29,one_year,85.77,9.0,1,0,debit,1
340,45,month-to-month,28.76,4.8,0,1,bank_transfer,0
974,12,one_year,38.3,13.3,3,1,cheque,0
409,68,month-to-month,65.19,10.5,1,0,cheque,0
1336,4,two_year,64.71,5.9,0,1,debit,0
266,40,two_year,57.04,6.1,3,0,credit_card,0
377,18,month-to-month,91.57,31.5,0,0,credit_card,1
1079,4,month-to-month,100.9,7.8,2,1,bank_transfer,1
483,26,two_year,104.44,4.8,1,0,debit,1
440,39,two_year,96.98,6.2,1,0,bank_transfer,0
272,71,month-to-month,29.71,6.5,1,1,debit,0
185,15,month-to-month,64.68,10.7,3,0,bank_transfer,1
1425,65,one_year,21.89,10.0,1,0,credit_card,0
245,9,month-to-month,50.3,19.9,1,0,bank_transfer,0
555,68,one_year,109.6,,0,0,bank_transfer,0
531,30,month-to-month,91.49,8.3,5,0,bank_transfer,1
446,54,month-to-month,95.17,5.6,2,0,debit,0
1408,57,one_year,38.01,10.0,0,0,cheque,0
1332,27,month-to-month,75.69,2.7,2,1,cheque,1
1041,58,one_year,85.4,13.9,0,0,cheque,0
927,47,month-to-month,52.65,5.9,0,0,credit_card,0
901,70,one_year,51.96,5.7,1,0,cheque,0
966,24,one_year,55.17,21.9,1,0,debit,0
416,65,one_year,85.67,4.4,1,0,bank_transfer,0
274,28,month-to-month,66.95,3.6,0,0,bank_transfer,1
742,55,one_year,89.67,8.8,0,0,cheque,0
